Hora,Lambda,Muh,Rho,P0,L,Lq,W,Wq,S,L_total
7:00 am a 7:59 am,23.52,38.7,60.78%,0.392,1.549,0.94,0.066,0.04,7,10.846
8:00 am a 8:59 am,10.26,12.78,80.28%,0.197,4.071,3.27,0.397,0.319,20,81.429
9:00 am a 9:59 am,10.74,14.16,75.85%,0.242,3.14,2.38,0.292,0.222,29,91.07
10:00 am a 10:59 am,8.7,9.54,91.19%,0.088,10.357,9.45,1.19,1.086,29,300.357
11:00 am a 11:59 am,14.76,100.02,14.76%,0.852,0.173,0.03,0.012,0.002,29,5.02
12:00 pm a 12:59 pm,7.38,7.86,93.89%,0.061,15.375,14.44,2.083,1.956,31,476.625
1:00 pm a 1:59 pm,4.74,8.58,55.24%,0.448,1.234,0.68,0.26,0.144,23,28.391
2:00 pm a 2:59 pm,12.84,17.4,73.79%,0.262,2.816,2.08,0.219,0.162,21,59.132
3:00 pm a 3:59 pm,8.7,9.9,87.88%,0.121,7.25,6.37,0.833,0.732,25,181.25
4:00 pm a 4:59 pm,21.18,23.7,89.37%,0.106,8.405,7.51,0.397,0.355,21,176.5
5:00 pm a 6:00 pm,15.54,16.2,95.93%,0.041,23.545,22.59,1.515,1.453,15,353.182
6:00 pm a 7:00 pm,13.8,24.84,55.56%,0.444,1.25,0.69,0.091,0.05,18,22.5
