Hora,T_llegadas,Tasa_media_llegadas,Duracion_servicio,Tasa_media_ servicio,Utilizacion,Lq,Wq,L,W,P0
7:00 am a 7:59 am,56.285,63.960,36.375,1.649,38.776,0,0,38.776,0.606,1.45E-17
8:00 am a 8:59 am,61.715,58.333,46.875,1.280,45.573,0,0,45.573,0.781,1.62E-20
9:00 am a 9:59 am,62.313,57.773,36.294,1.653,34.947,0,0,34.947,0.605,6.65E-16
10:00 am a 10:59 am,66.120,54.446,37.063,1.619,33.632,0,0,33.632,0.618,2.48E-15
11:00 am a 11:59 am,109.795,32.788,37.063,1.619,20.254,0,0,20.254,0.618,1.60E-09
12:00 pm a 12:59 pm,92.260,39.020,37.250,1.611,24.225,0,0,24.225,0.621,3.02E-11
1:00 pm a 1:59 pm,108.700,33.119,36.357,1.650,20.068,0,0,20.068,0.606,1.93E-09
2:00 pm a 2:59 pm,84.535,42.586,26.111,2.298,18.533,0,0,18.533,0.435,8.95E-09
3:00 pm a 3:59 pm,64.750,55.598,28.000,2.143,25.946,0,0,25.946,0.467,5.40E-12
4:00 pm a 4:59 pm,63.081,57.070,23.750,2.526,22.590,0,0,22.590,0.396,1.55E-10
5:00 pm a 6:00 pm,93.990,38.302,33.733,1.779,21.534,0,0,21.534,0.562,4.45E-10
6:00 pm a 7:00 pm,110.150,32.683,23.600,2.542,12.855,0,0,12.855,0.393,2.61E-06
