Hora,Lambda,Muh,Rho,P0,L,Lq,W,Wq,S,L_total
7:00 am a 7:59 am,28.200,48.000,58.75%,0.413,1.424,0.84,0.051,0.030,3,4.273
8:00 am a 8:59 am,7.320,48.000,15.25%,0.848,0.180,0.03,0.025,0.004,7,1.260
9:00 am a 9:59 am,8.580,8.940,95.97%,0.040,23.833,22.87,2.778,2.666,12,286.000
10:00 am a 10:59 am,10.620,14.520,73.14%,0.269,2.723,1.99,0.256,0.188,16,43.569
11:00 am a 11:59 am,9.840,14.820,66.40%,0.336,1.976,1.31,0.201,0.133,15,29.639
12:00 pm a 12:59 pm,7.200,15.600,46.15%,0.538,0.857,0.40,0.119,0.055,12,10.286
1:00 pm a 1:59 pm,8.580,10.980,78.14%,0.219,3.575,2.79,0.417,0.326,9,32.175
2:00 pm a 2:59 pm,12.900,20.280,63.61%,0.364,1.748,1.11,0.136,0.086,8,13.984
3:00 pm a 3:59 pm,18.660,21.960,84.97%,0.150,5.655,4.80,0.303,0.257,8,45.236
4:00 pm a 4:59 pm,12.240,19.620,62.39%,0.376,1.659,1.03,0.136,0.085,9,14.927
5:00 pm a 6:00 pm,5.220,20.940,24.93%,0.751,0.332,0.08,0.064,0.016,10,3.321
6:00 pm a 7:00 pm,16.440,17.820,92.26%,0.077,11.913,10.99,0.725,0.669,11,131.043
